Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
134,-0.247988,1.15422,0.496351,28,24,18,168
135,-0.250805,1.16767,0.506783,28,24,18,168
136,-0.251105,1.19311,0.516856,28,24,18,168
137,-0.2519,1.21265,0.526317,28,24,18,168
138,-0.251602,1.23128,0.534118,28,24,18,168
139,-0.252279,1.24853,0.54234,28,24,18,168
140,-0.252247,1.26763,0.550071,28,24,18,168
141,-0.25168,1.28577,0.556125,28,24,18,168
142,-0.251926,1.30469,0.562699,28,24,18,168
143,-0.252704,1.32179,0.568949,28,24,18,168
144,-0.252816,1.34017,0.574638,28,24,18,168
145,-0.252447,1.358,0.580011,28,24,18,168
146,-0.251653,1.37473,0.585103,28,24,18,168
147,-0.251394,1.38809,0.5891,28,24,18,168
148,-0.251572,1.40245,0.593645,28,24,18,168
149,-0.253215,1.41393,0.598919,28,24,18,168
