speed,Latency,1,Ego_position,point.objects.object0.heading,point.objects.object0.position[0],point.objects.object0.position[1],point.objects.object0.speed,point.objects.object0.velocity[0],point.objects.object0.velocity[1],point.objects.object1.delay,point.objects.object1.heading,point.objects.object1.position[0],point.objects.object1.position[1],point.objects.object1.velocity[0],point.objects.object1.velocity[1],point.objects.object2.heading,point.objects.object2.position[0],point.objects.object2.position[1],point.objects.object2.speed,point.objects.object2.velocity[0],point.objects.object2.velocity[1],point.objects.object3.heading,point.objects.object3.position[0],point.objects.object3.position[1],point.objects.object3.speed,point.objects.object3.velocity[0],point.objects.object3.velocity[1],point.objects.object4.heading,point.objects.object4.position[0],point.objects.object4.position[1],point.objects.object4.speed,point.objects.object4.velocity[0],point.objects.object4.velocity[1],point.objects.object5.position[0],point.objects.object5.position[1],point.objects.object5.time_delay_gap,rho,label
30.6990618,185.6396191,1,29.35447546,-3.136433681,-9.466479048,29.35447546,30.6990618,0.158374915,-30.69865328,1.915831212,0.010365974,-19.64940683,5.545049579,0,0,-3.136433598,-12.62885957,29.39026326,71.45641888,0.368645973,-71.45546795,-3.136433598,-12.50575468,34.83891147,41.76233512,0.215453236,-41.76177935,-3.136433598,-12.54849091,43.12256963,79.55076457,0.410404964,-79.54970592,-14.94551542,9.321655451,185.6396191,5.410517369,1
32.5953203,115.4449304,1,38.73819233,-3.136433681,-9.514889815,38.73819233,32.5953203,0.168157617,-32.59488654,2.700204503,0.010365974,-19.65521115,6.104969107,0,0,-3.136433598,-12.20543776,31.82821708,58.25437927,0.300536225,-58.25360402,-3.136433598,-12.95885609,38.15494662,31.84409874,0.164284734,-31.84367496,-3.136433598,-12.98596034,43.40862285,39.48083675,0.203682912,-39.48031134,-16.36773973,10.99512368,115.4449304,2.946887793,1
29.24270262,155.9772284,1,33.38499107,-3.136433681,-9.487272552,33.38499107,29.24270262,0.150861631,-29.24231347,1.763449452,0.010365974,-19.66048473,6.61369053,0,0,-3.136433598,-12.40851326,33.48277834,58.86543001,0.303688655,-58.86464664,-3.136433598,-12.78735019,42.61908798,66.6921699,0.344067059,-66.69128236,-3.136433598,-12.81605517,48.18303868,31.25652297,0.161253412,-31.25610701,-16.08490842,8.828409835,155.9772284,4.089472967,1
35.4551969,151.5566258,1,30.09836213,-3.136433681,-9.470316773,30.09836213,35.4551969,0.182911577,-35.45472508,1.504463754,-0.188366633,-19.40948284,11.62549556,0,0,-3.136433598,-12.3713186,32.63838854,40.71209925,0.210035035,-40.71155745,-3.136433598,-12.79739356,38.20076851,39.45314815,0.203540066,-39.45262311,-3.136433598,-12.8223023,43.02888334,61.72047808,0.31841794,-61.71965671,-10.76748606,10.93709794,151.5566258,2.763849572,1
30.60349944,139.4665475,1,42.04983629,-3.136433681,-9.531974647,42.04983629,30.60349944,0.157881914,-30.60309218,1.11112241,0.010365974,-19.64835451,5.443536424,0,0,-3.136433598,-12.69450983,32.16066881,74.45316434,0.38410628,-74.45217353,-3.136433598,-12.47635881,39.09564228,75.74188042,0.390754808,-75.74087245,-3.136433598,-12.50855016,45.33536279,64.04827937,0.330427142,-64.04742703,-11.0106887,6.207992517,139.4665475,2.374039101,1
25.35513769,135.8277432,1,34.56637272,-3.136433681,-9.493367321,34.56637272,25.35513769,0.13080588,-25.35480028,2.091852837,0.010365974,-19.68084768,8.578023435,0,0,-3.136433598,-12.99781218,32.98828517,49.44915026,0.255109764,-49.4484922,-3.136433598,-12.18947314,41.44933576,58.53851254,0.302002077,-58.53773352,-3.136433598,-12.22840725,48.99602054,34.82090389,0.179642168,-34.82044049,-16.55050385,10.35180685,135.8277432,2.841433483,1
47.89363174,140.7161272,1,48.8667322,-3.136433681,-9.567143138,48.8667322,47.89363174,0.247080836,-47.8929944,2.350353859,-0.055884577,-19.61664815,10.03458431,0,0,-3.136433598,-13.0159865,30.56990868,46.61893684,0.240508601,-46.61831644,-3.136433598,-12.1363784,37.09893081,28.73187529,0.148228673,-28.73149293,-3.136433598,-12.20241232,49.89843252,60.5698021,0.312481566,-60.56899604,-9.62493249,8.769609651,140.7161272,1.260411573,1
49.7860521,167.0078304,1,48.4440412,-3.136433681,-9.564962467,48.4440412,49.7860521,0.256843738,-49.78538957,0.832795699,0.010365974,-19.66086062,6.649950711,0,0,-3.136433598,-12.59338167,32.20401879,64.15298816,0.330967338,-64.15213442,-3.136433598,-12.57647457,38.85631852,29.18008341,0.150540993,-29.17969508,-3.136433598,-12.60353894,44.10226582,55.946014,0.288627294,-55.94526947,-8.35006137,11.47076321,167.0078304,1.272441966,1
30.60012302,152.2177302,0,46.03698242,-3.136433681,-9.552544407,46.03698242,30.60012302,0.157864495,-30.59971581,0.453910381,0.010365974,-19.66033211,6.598967427,0,0,-3.136433598,-12.88461627,29.52292607,52.80858966,0.27244122,-52.80788689,-3.136433598,-12.25883949,36.41936045,60.24762548,0.310819446,-60.24682371,-3.136433598,-12.29786216,43.98321106,21.26161833,0.109689376,-21.26133538,-14.46509721,6.350618188,152.2177302,0.741031769,1
42.4333666,134.6785686,0,44.53256765,-3.136433681,-9.544783104,44.53256765,42.4333666,0.218911603,-42.43280191,2.378402758,0.010365974,-19.67577414,8.088598904,0,0,-3.136433598,-12.74588593,30.18424732,54.5630498,0.281492537,-54.56232368,-3.136433598,-12.40627204,37.44517364,31.6104949,0.163079564,-31.61007423,-3.136433598,-12.47177472,50.14170371,24.71700083,0.127515806,-24.7166719,-11.53181304,7.420403813,134.6785686,0.989719503,1
39.31989819,139.6628298,0,44.24413883,-3.136433681,-9.543295094,44.24413883,39.31989819,0.202849376,-39.31937494,2.389229917,0.010365974,-19.67595267,8.105820986,0,0,-3.136433598,-12.35401275,31.41143809,52.53252841,0.271017011,-52.53182931,-3.136433598,-12.80491965,37.53211456,36.29725162,0.187258694,-36.29676858,-3.136433598,-12.85852454,47.92247054,59.23179735,0.305578756,-59.2310091,-13.19621771,7.305657563,139.6628298,0.834418823,1
41.18784659,193.6215018,0,50.24750631,-3.136433681,-9.574266577,50.24750631,41.18784659,0.212486028,-41.18729849,2.860425412,0.010365974,-19.64500838,5.120748419,0,0,-3.136433598,-12.48299482,31.55698904,54.65763989,0.28198053,-54.65691252,-3.136433598,-12.67246332,36.71280926,47.35238828,0.244292501,-47.35175812,-3.136433598,-12.70690386,43.38849637,52.39167267,0.270290332,-52.39097545,-11.57765402,6.012061177,193.6215018,0.982468804,1
49.37377779,156.3212907,1,30.58959017,-3.136433681,-9.472851027,30.58959017,49.37377779,0.254716835,-49.37312075,1.448338933,0.010365974,-19.6661908,7.164132207,0,0,-3.136433598,-12.43552153,32.46676687,21.09536278,0.108831658,-21.09508204,-3.136433598,-12.74865704,41.37011019,71.866196,0.370760027,-71.86523961,-3.136433598,-12.78027483,47.49865735,74.05109733,0.382032003,-74.05011187,-14.38677064,10.13313838,156.3212907,4.54510408,1
38.44946429,111.5040816,1,40.6361028,-3.136433681,-9.52468117,40.6361028,38.44946429,0.198358852,-38.44895262,0.495860753,0.010365974,-19.66055252,6.620230215,0,0,-3.136433598,-12.51262676,33.18942332,69.99269873,0.361094594,-69.99176727,-3.136433598,-12.67409449,41.14011772,28.71856064,0.148159982,-28.71817845,-3.136433598,-12.70622864,47.36875256,39.8468116,0.205570988,-39.84628132,-8.542241624,7.512982729,111.5040816,2.141230221,1
37.28976142,174.6762939,1,31.01304995,-3.136433681,-9.475035664,31.01304995,37.28976142,0.192376003,-37.28926519,2.933248139,0.010365974,-19.65001207,5.603434769,0,0,-3.136433598,-12.94578029,30.6695575,65.81174935,0.339524941,-65.81087353,-3.136433598,-12.20844633,37.36032807,51.22472767,0.264270025,-51.22404598,-3.136433598,-12.27347866,49.96568887,34.10954197,0.175972229,-34.10908804,-15.45767925,7.857143511,174.6762939,5.037640063,1
22.44059218,165.2331461,1,50.80667856,-3.136433681,-9.577151357,50.80667856,22.44059218,0.115769886,-22.44029355,1.45816682,-0.055884577,-19.59258616,10.46470185,0,0,-3.136433598,-12.71914258,32.56961781,52.62379123,0.271487839,-52.62309092,-3.136433598,-12.46233469,40.74293033,46.97046424,0.242322142,-46.96983916,-3.136433598,-12.51176586,50.32428428,76.96485997,0.397064199,-76.96383573,-13.48015804,11.32696852,165.2331461,1.722968276,1
33.97694295,127.7190131,1,37.31171225,-3.136433681,-9.507530578,37.31171225,33.97694295,0.175285339,-33.9764908,1.816171481,0.010365974,-19.68227722,8.715925459,0,0,-3.136433598,-12.45083911,31.50995506,42.02595106,0.216813239,-42.02539178,-3.136433598,-12.71677022,39.11521922,57.04762489,0.29431054,-57.04686571,-3.136433598,-12.76204334,47.89060747,36.88066008,0.190268517,-36.88016927,-8.921432521,7.838066135,127.7190131,2.000152055,1
25.87886114,171.313415,1,51.55278296,-3.136433681,-9.581000523,51.55278296,25.87886114,0.133507743,-25.87851675,2.758624753,-0.188366633,-19.4767058,11.27285343,0,0,-3.136433598,-12.83603541,31.44987885,69.29042582,0.357471545,-69.28950371,-3.136433598,-12.33486674,39.81255477,53.11730476,0.274033891,-53.11659788,-3.136433598,-12.37324506,47.25150853,68.16172192,0.351648525,-68.16081483,-12.98050846,6.681280552,171.313415,2.47518855,1
